vars,clauses,ratio,seed,cadical_time,cadical_result,bend_c_time,bend_c_result,bend_rs_time,bend_rs_result
10,43,4.30,1,5,SAT,329,SAT,285,SAT
10,43,4.30,2,4,SAT,313,SAT,346,SAT
10,43,4.30,3,5,SAT,491,SAT,411,SAT
15,64,4.27,1,6,UNSAT,1164,UNSAT,1209,UNSAT
15,64,4.27,2,8,SAT,1632,SAT,1259,SAT
15,64,4.27,3,6,UNSAT,1057,UNSAT,970,UNSAT
20,85,4.25,1,6,SAT,2798,SAT,2443,SAT
20,85,4.25,2,10,SAT,3839,SAT,3062,SAT
20,85,4.25,3,8,SAT,4150,SAT,3844,SAT
25,107,4.28,1,6,SAT,6806,SAT,10293,SAT
25,107,4.28,2,9,SAT,13028,SAT,12367,SAT
30,128,4.27,1,7,SAT,30109,SAT,28087,SAT
30,128,4.27,2,8,SAT,39194,SAT,24948,SAT
